year,month,npw,npe,net_income,combined_ratio,npw_py,npe_py,net_income_py,combined_ratio_py,accession,filed
2008,12,905.7,1047.5,-70.0,98.9,910.1,1044.5,1182.5,95.8,0001193125-09-008736,2009-01-21
2009,1,1217.3,1302.2,98.2,89.0,1269.9,1298.1,121.9,93.3,0001193125-09-024766,2009-02-11
2009,2,1123.0,1048.3,125.7,89.2,1102.2,1042.5,46.2,98.2,0001193125-09-050481,2009-03-11
2009,3,1182.6,1056.1,8.6,90.5,1118.3,1049.4,71.3,92.8,0001193125-09-079270,2009-04-15
2009,4,1414.5,1322.2,116.2,89.2,1414.9,1311.5,108.9,91.7,0001193125-09-109249,2009-05-13
2009,5,1054.9,1058.2,54.6,95.3,1049.2,1050.1,79.3,92.4,0001193125-09-128329,2009-06-10
2009,6,1059.2,1061.0,79.3,94.3,1046.6,1049.6,27.3,97.0,0001193125-09-147016,2009-07-10
2009,7,1365.8,1325.0,114.9,91.0,1383.8,1314.2,81.8,92.8,0001193125-09-171862,2009-08-11
2009,8,1149.3,1058.1,652.5,95.5,1103.3,1050.4,401.5,94.3,0001193125-09-189690,2009-09-10
2009,9,1038.4,1062.3,,92.2,1024.3,1051.6,,98.7,0001193125-09-207465,2009-10-14
2009,10,1300.0,1329.1,106.7,91.6,1259.2,1316.2,145.0,93.2,0001193125-09-230719,2009-11-10
2009,11,942.1,1063.9,80.0,92.2,926.9,1050.3,137.5,93.8,0001193125-09-249689,2009-12-09
2009,12,1155.8,1326.4,,90.9,905.7,1047.5,,98.9,0001193125-10-008555,2010-01-20
2010,1,1336.7,1329.7,71.2,93.6,1217.3,1302.2,98.2,89.0,0001193125-10-032872,2010-02-17
2010,2,1248.2,1079.3,98.1,90.4,1123.0,1048.3,125.7,89.2,0001193125-10-059143,2010-03-17
2010,3,1192.6,1092.1,126.3,88.2,1182.6,1056.1,8.6,90.5,0001193125-10-082999,2010-04-14
2010,4,1473.7,1374.5,111.1,90.7,1414.5,1322.2,116.2,89.2,0001193125-10-123894,2010-05-19
2010,5,1108.6,1105.9,44.2,95.6,1054.9,1058.2,54.6,95.3,0001193125-10-140302,2010-06-16
2010,6,1125.6,1109.8,56.6,92.3,1059.2,1061.0,79.3,94.3,0001193125-10-158485,2010-07-14
2010,8,1146.5,1110.1,66.5,93.1,1149.3,1058.1,55.0,95.5,0001193125-10-211103,2010-09-16
2010,9,1147.8,1114.2,81.9,93.9,1038.4,1062.3,100.0,92.2,0001193125-10-229186,2010-10-14
