year,month,role,name,inside_personal,npw,npe,loss_ratio,expense_ratio,combined_ratio
2010,4,agency,Agency,,770.7,714.2,,,
2010,4,direct,Direct,,538.4,516.4,,,
2010,4,personal_total,Total,,1309.1,1230.6,,,
2010,4,commercial,Business,,164.0,142.3,,,
2010,4,other,Businesses,,0.6,1.6,,,
2010,4,companywide,Total,,1473.7,1374.5,,,
2010,8,agency,Agency,,589.1,574.1,,,
2010,8,direct,Direct,,450.6,421.4,,,
2010,8,personal_total,Total,,1039.7,995.5,,,
2010,8,commercial,Business,,106.8,113.7,,,
2010,8,other,Businesses,,0.0,0.9,,,
2010,8,companywide,Total,,1146.5,1110.1,,,
2010,9,agency,Agency,,591.0,578.1,,,
2010,9,direct,Direct,,449.1,421.9,,,
2010,9,personal_total,Total,,1040.1,1000.0,,,
2010,9,commercial,Business,,107.7,113.3,,,
2010,9,other,Businesses,,0.0,0.9,,,
2010,9,companywide,Total,,1147.8,1114.2,,,
2010,10,agency,Agency,,694.0,720.1,,,
2010,10,direct,Direct,,508.3,532.0,,,
2010,10,personal_total,Total,,1202.3,1252.1,,,
2010,10,commercial,Business,,132.9,140.9,,,
2010,10,other,Businesses,,0.0,1.0,,,
2010,10,companywide,Total,,1335.2,1394.0,,,
2011,8,agency,Agency,,608.2,587.5,,,
2011,8,direct,Direct,,477.9,448.2,,,
2011,8,personal_total,Total,,1086.1,1035.7,,,
2011,8,commercial,Business,,120.3,114.1,,,
2011,8,other,Businesses,,0.0,0.1,,,
2011,8,companywide,Total,,1206.4,1149.9,,,
2011,11,agency,Agency,,544.5,592.0,,,
2011,11,direct,Direct,,418.6,454.5,,,
2011,11,personal_total,Total,,963.1,1046.5,,,
2011,11,commercial,Business,,108.8,117.0,,,
2011,11,other,Businesses,,0.0,0.2,,,
2011,11,companywide,Total,,1071.9,1163.7,,,
2012,3,agency,Agency,,665.3,613.5,,,
2012,3,direct,Direct,,518.5,474.3,,,
2012,3,personal_total,Total,,1183.8,1087.8,,,
2012,3,commercial,Business,,141.2,121.1,,,
2012,3,other,Businesses,,0.0,0.1,,,
2012,3,companywide,Total,,1325.0,1209.0,,,
2012,4,agency,Agency,,843.3,775.0,,,
2012,4,direct,Direct,,631.3,598.8,,,
2012,4,personal_total,Total,,1474.6,1373.8,,,
2012,4,commercial,Business,,197.4,154.2,,,
2012,4,other,Businesses,,0.0,0.2,,,
2012,4,companywide,Total,,1672.0,1528.2,,,
2012,6,agency,Agency,,631.2,626.0,,,
2012,6,direct,Direct,,467.3,484.0,,,
2012,6,personal_total,Total,,1098.5,1110.0,,,
2012,6,commercial,Business,,141.2,127.9,,,
2012,6,other,Businesses,,0.0,0.0,,,
2012,6,companywide,Total,,1239.7,1237.9,,,
2012,7,agency,Agency,,822.5,785.5,,,
2012,7,direct,Direct,,650.8,607.1,,,
2012,7,personal_total,Total,,1473.3,1392.6,,,
2012,7,commercial,Business,,174.7,161.7,,,
2012,7,other,Businesses,,0.0,0.1,,,
2012,7,companywide,Total,,1648.0,1554.4,,,
2012,8,agency,Agency,,644.3,629.3,,,
2012,8,direct,Direct,,506.4,486.4,,,
2012,8,personal_total,Total,,1150.7,1115.7,,,
2012,8,commercial,Business,,134.8,130.9,,,
2012,8,other,Businesses,,0.0,0.0,,,
2012,8,companywide,Total,,1285.5,1246.6,,,
2012,9,agency,Agency,,655.2,632.9,,,
2012,9,direct,Direct,,521.5,489.2,,,
2012,9,personal_total,Total,,1176.7,1122.1,,,
2012,9,commercial,Business,,131.6,131.7,,,
2012,9,other,Businesses,,0.0,0.0,,,
2012,9,companywide,Total,,1308.3,1253.8,,,
2012,10,agency,Agency,,798.0,795.0,,,
2012,10,direct,Direct,,607.9,614.8,,,
2012,10,personal_total,Total,,1405.9,1409.8,,,
2012,10,commercial,Business,,166.0,165.4,,,
2012,10,other,Businesses,,0.0,0.0,,,
2012,10,companywide,Total,,1571.9,1575.2,,,
2012,11,agency,Agency,,575.0,638.0,,,
2012,11,direct,Direct,,438.8,494.0,,,
2012,11,personal_total,Total,,1013.8,1132.0,,,
2012,11,commercial,Business,,116.1,132.2,,,
2012,11,other,Businesses,,0.0,0.1,,,
2012,11,companywide,Total,,1129.9,1264.3,,,
2012,12,agency,Agency,,578.1,638.6,,,
2012,12,direct,Direct,,446.7,495.3,,,
2012,12,personal_total,Total,,1024.8,1133.9,,,
2012,12,commercial,Business,,112.7,132.2,,,
2012,12,other,Businesses,,0.0,0.0,,,
2012,12,companywide,Total,,1137.5,1266.1,,,
2013,1,agency,Agency,,754.0,801.9,,,
2013,1,direct,Direct,,613.7,623.0,,,
2013,1,personal_total,Total,,1367.7,1424.9,,,
2013,1,commercial,Business,,170.1,164.7,,,
2013,1,other,Businesses,,0.0,0.0,,,
2013,1,companywide,Total,,1537.8,1589.6,,,
2013,2,agency,Agency,,744.3,648.4,,,
2013,2,direct,Direct,,606.6,505.4,,,
2013,2,personal_total,Total,,1350.9,1153.8,,,
2013,2,commercial,Business,,141.7,132.6,,,
2013,2,other,Businesses,,0.0,0.0,,,
2013,2,companywide,Total,,1492.6,1286.4,,,
2013,3,agency,Agency,,703.9,656.9,,,
2013,3,direct,Direct,,566.0,513.2,,,
2013,3,personal_total,Total,,1269.9,1170.1,,,
2013,3,commercial,Business,,149.1,133.1,,,
2013,3,other,Businesses,,0.0,0.1,,,
2013,3,companywide,Total,,1419.0,1303.3,,,
2013,4,agency,Agency,,897.8,824.8,,,
2013,4,direct,Direct,,687.0,647.4,,,
2013,4,personal_total,Total,,1584.8,1472.2,,,
2013,4,commercial,Business,,197.2,167.7,,,
2013,4,other,Businesses,,0.0,0.0,,,
2013,4,companywide,Total,,1782.0,1639.9,,,
2013,5,agency,Agency,,654.2,662.4,,,
2013,5,direct,Direct,,488.9,517.9,,,
2013,5,personal_total,Total,,1143.1,1180.3,,,
2013,5,commercial,Business,,138.5,135.6,,,
2013,5,other,Businesses,,0.0,0.0,,,
2013,5,companywide,Total,,1281.6,1315.9,,,
2013,6,agency,Agency,,671.7,664.3,,,
2013,6,direct,Direct,,505.2,520.1,,,
2013,6,personal_total,Total,,1176.9,1184.4,,,
2013,6,commercial,Business,,146.6,136.8,,,
2013,6,other,Businesses,,0.0,0.0,,,
2013,6,companywide,Total,,1323.5,1321.2,,,
2013,7,agency,Agency,,864.1,831.3,,,
2013,7,direct,Direct,,694.7,650.9,,,
2013,7,personal_total,Total,,1558.8,1482.2,,,
2013,7,commercial,Business,,173.4,171.8,,,
2013,7,other,Businesses,,0.0,0.1,,,
2013,7,companywide,Total,,1732.2,1654.1,,,
2013,8,agency,Agency,,689.4,664.4,,,
2013,8,direct,Direct,,547.0,519.7,,,
2013,8,personal_total,Total,,1236.4,1184.1,,,
2013,8,commercial,Business,,131.7,137.1,,,
2013,8,other,Businesses,,0.0,0.0,,,
2013,8,companywide,Total,,1368.1,1321.2,,,
2013,9,agency,Agency,,673.8,667.0,,,
2013,9,direct,Direct,,548.0,522.8,,,
2013,9,personal_total,Total,,1221.8,1189.8,,,
2013,9,commercial,Business,,132.5,137.9,,,
2013,9,other,Businesses,,0.0,0.0,,,
2013,9,companywide,Total,,1354.3,1327.7,,,
2013,10,agency,Agency,,837.4,836.6,,,
2013,10,direct,Direct,,653.6,658.3,,,
2013,10,personal_total,Total,,1491.0,1494.9,,,
2013,10,commercial,Business,,168.8,171.7,,,
2013,10,other,Businesses,,0.0,0.0,,,
2013,10,companywide,Total,,1659.8,1666.6,,,
2013,11,agency,Agency,,604.6,671.2,,,
2013,11,direct,Direct,,476.6,529.7,,,
2013,11,personal_total,Total,,1081.2,1200.9,,,
2013,11,commercial,Business,,113.6,136.8,,,
2013,11,other,Businesses,,0.0,0.0,,,
2013,11,companywide,Total,,1194.8,1337.7,,,
2013,12,agency,Agency,,607.4,672.3,,,
2013,12,direct,Direct,,479.3,531.7,,,
2013,12,personal_total,Total,,1086.7,1204.0,,,
2013,12,commercial,Business,,107.3,135.8,,,
2013,12,other,Businesses,,0.0,0.0,,,
2013,12,companywide,Total,,1194.0,1339.8,,,
2014,1,agency,Agency,,769.4,839.1,,,
2014,1,direct,Direct,,646.8,667.9,,,
2014,1,personal_total,Total,,1416.2,1507.0,,,
2014,1,commercial,Business,,162.2,167.5,,,
2014,1,other,Businesses,,0.0,0.0,,,
2014,1,companywide,Total,,1578.4,1674.5,,,
2014,2,agency,Agency,,759.8,677.2,,,
2014,2,direct,Direct,,638.3,541.5,,,
2014,2,personal_total,Total,,1398.1,1218.7,,,
2014,2,commercial,Business,,140.6,134.2,,,
2014,2,other,Businesses,,0.0,0.0,,,
2014,2,companywide,Total,,1538.7,1352.9,,,
2014,3,agency,Agency,,763.4,686.9,,,
2014,3,direct,Direct,,641.5,552.8,,,
2014,3,personal_total,Total,,1404.9,1239.7,,,
2014,3,commercial,Business,,159.0,135.2,,,
2014,3,other,Businesses,,0.0,0.0,,,
2014,3,companywide,Total,,1563.9,1374.9,,,
2014,4,agency,Agency,,927.1,862.5,,,
2014,4,direct,Direct,,744.0,698.8,,,
2014,4,personal_total,Total,,1671.1,1561.3,,,
2014,4,commercial,Business,,206.1,170.3,,,
2014,4,other,Businesses,,0.0,0.0,,,
2014,4,companywide,Total,,1877.2,1731.6,,,
2014,5,agency,Agency,,684.0,689.0,,,
2014,5,direct,Direct,,540.2,560.6,,,
2014,5,personal_total,Total,,1224.2,1249.6,,,
2014,5,commercial,Business,,147.8,138.0,,,
2014,5,other,Businesses,,0.0,0.0,,,
2014,5,companywide,Total,,1372.0,1387.6,,,
2014,6,agency,Agency,,679.9,690.8,,,
2014,6,direct,Direct,,544.7,564.6,,,
2014,6,personal_total,Total,,1224.6,1255.4,,,
2014,6,commercial,Business,,153.9,138.9,,,
2014,6,other,Businesses,,0.0,0.0,,,
2014,6,companywide,Total,,1378.5,1394.3,,,
2014,7,agency,Agency,,877.0,861.2,,,
2014,7,direct,Direct,,754.3,707.8,,,
2014,7,personal_total,Total,,1631.3,1569.0,,,
2014,7,commercial,Business,,178.4,174.5,,,
2014,7,other,Businesses,,0.0,0.0,,,
2014,7,companywide,Total,,1809.7,1743.5,,,
2014,8,agency,Agency,,728.6,687.0,,,
2014,8,direct,Direct,,629.4,568.1,,,
2014,8,personal_total,Total,,1358.0,1255.1,,,
2014,8,commercial,Business,,141.4,140.2,,,
2014,8,other,Businesses,,0.0,0.0,,,
2014,8,companywide,Total,,1499.4,1395.3,,,
2014,9,agency,Agency,,678.9,687.0,,,
2014,9,direct,Direct,,600.7,573.0,,,
2014,9,personal_total,Total,,1279.6,1260.0,,,
2014,9,commercial,Business,,143.6,141.3,,,
2014,9,other,Businesses,,0.0,0.0,,,
2014,9,companywide,Total,,1423.2,1401.3,,,
2014,10,agency,Agency,,847.3,859.2,,,
2014,10,direct,Direct,,715.6,722.5,,,
2014,10,personal_total,Total,,1562.9,1581.7,,,
2014,10,commercial,Business,,182.9,176.9,,,
2014,10,other,Businesses,,0.0,0.0,,,
2014,10,companywide,Total,,1745.8,1758.6,,,
2014,11,agency,Agency,,631.0,688.4,,,
2014,11,direct,Direct,,537.8,583.3,,,
2014,11,personal_total,Total,,1168.8,1271.7,,,
2014,11,commercial,Business,,130.1,142.4,,,
2014,11,other,Businesses,,0.0,0.0,,,
2014,11,companywide,Total,,1298.9,1414.1,,,
2014,12,agency,Agency,,756.4,858.7,,,
2014,12,direct,Direct,,663.1,733.1,,,
2014,12,personal_total,Total,,1419.5,1591.8,,,
2014,12,commercial,Business,,149.4,178.1,,,
2014,12,other,Businesses,,0.0,0.0,,,
2014,12,companywide,Total,,1568.9,1769.9,,,
2015,1,agency,Agency,,824.9,855.4,,,
2015,1,direct,Direct,,756.5,736.7,,,
2015,1,personal_total,Total,,1581.4,1592.1,,,
2015,1,commercial,Business,,192.2,177.9,,,
2015,1,other,Businesses,,0.0,0.0,,,
2015,1,companywide,Total,,1773.6,1770.0,,,
2015,2,agency,Agency,,785.0,692.0,,,
2015,2,direct,Direct,,743.4,603.6,,,
2015,2,personal_total,Total,,1528.4,1295.6,,,
2015,2,commercial,Business,,158.5,143.3,,,
2015,2,other,Businesses,,0.0,0.0,,,
2015,2,companywide,Total,,1686.9,1438.9,,,
2015,3,agency,Agency,,746.2,697.1,,,
2015,3,direct,Direct,,679.7,615.1,,,
2015,3,personal_total,Total,,1425.9,1312.2,,,
2015,3,commercial,Business,,180.4,145.2,,,
2015,3,other,Businesses,,0.0,0.0,,,
2015,3,companywide,Total,,1606.3,1457.4,,,
2015,4,agency,Agency,,938.1,874.5,,18.9,88.2
2015,4,direct,Direct,,803.6,776.5,,19.1,90.3
2015,4,personal_total,Total,,1741.7,1651.0,,19.0,89.2
2015,4,commercial,Business,,234.7,185.4,,21.6,79.3
2015,4,property,Business,,86.7,63.9,,34.71,108.41
2015,4,companywide,Total,,2062.7,1899.9,,19.8,88.9
2015,5,agency,Agency,,700.8,700.0,76.2,19.7,95.9
2015,5,direct,Direct,,617.4,625.5,75.2,19.5,94.7
2015,5,personal_total,Total,,1318.2,1325.5,75.7,19.6,95.3
2015,5,commercial,Business,,166.8,150.7,61.2,21.9,83.1
2015,5,property,Business,,96.4,67.2,64.1,34.32,98.42
2015,5,companywide,Total,,1581.4,1543.4,73.8,20.5,94.3
2015,6,agency,Agency,,706.8,701.9,75.0,19.3,94.3
