year,state,npw
2006,total,14132.0
2006,all other,6322.7
2006,florida,1811.5
2006,texas,1096.0
2006,california,1085.1
2006,new york,930.6
2006,georgia,751.0
2006,ohio,693.7
2006,pennsylvania,642.1
2006,michigan,432.2
2006,louisiana,367.1
2007,total,13772.5
2007,all other,5992.0
2007,florida,1656.9
2007,california,1106.4
2007,texas,1072.0
2007,new york,847.9
2007,georgia,748.9
2007,ohio,655.9
2007,pennsylvania,610.5
2007,michigan,443.5
2007,louisiana,359.4
2007,new jersey,279.1
2008,total,13604.3
2008,all other,5994.6
2008,florida,1631.0
2008,texas,1151.3
2008,california,1016.3
2008,new york,738.8
2008,georgia,699.7
2008,ohio,632.4
2008,pennsylvania,563.7
2008,michigan,461.8
2008,louisiana,373.7
2008,new jersey,341.0
2009,total,14002.9
2009,all other,6287.8
2009,florida,1667.0
2009,texas,1228.9
2009,california,951.9
2009,new york,704.1
2009,georgia,682.9
2009,ohio,623.9
2009,pennsylvania,580.7
2009,michigan,455.3
2009,louisiana,414.5
2009,new jersey,405.9
2010,total,14476.8
2010,all other,6622.3
2010,florida,1603.2
2010,texas,1321.4
2010,california,914.1
2010,georgia,714.6
2010,new york,685.3
2010,ohio,652.5
2010,pennsylvania,608.5
2010,louisiana,465.9
2010,michigan,448.4
2010,new jersey,440.6
2011,total,15146.6
2011,all other,6896.1
2011,florida,1683.1
2011,texas,1403.8
2011,california,935.8
2011,georgia,738.2
2011,new york,713.4
2011,ohio,689.0
2011,pennsylvania,623.1
2011,new jersey,496.3
2011,louisiana,496.1
2011,michigan,471.7
2012,total,16372.7
2012,all other,7367.7
2012,florida,2000.1
2012,texas,1536.6
2012,california,954.4
2012,new york,782.3
2012,georgia,757.1
2012,ohio,725.8
2012,pennsylvania,644.2
2012,new jersey,600.1
2012,louisiana,515.9
2012,michigan,488.5
2013,total,17339.7
2013,all other,7742.3
2013,florida,2188.1
2013,texas,1560.7
2013,california,996.0
2013,new york,882.8
2013,georgia,771.6
2013,ohio,757.4
2013,new jersey,697.4
2013,pennsylvania,663.8
2013,louisiana,540.1
2013,michigan,539.5
2014,total,18654.6
2014,all other,8242.7
2014,florida,2399.0
2014,texas,1664.6
2014,california,1080.6
2014,new york,1000.7
2014,ohio,807.7
2014,georgia,774.0
2014,new jersey,754.6
2014,pennsylvania,718.6
2014,michigan,659.6
2014,louisiana,552.5
2015,total,20564.0
2015,all other,8844.8
2015,florida,2839.6
2015,texas,1941.5
2015,california,1173.6
2015,new york,1095.6
2015,ohio,820.8
2015,new jersey,820.2
2015,georgia,813.2
2015,michigan,812.5
2015,pennsylvania,787.3
2015,louisiana,614.9
2016,total,23353.5
2016,all other,9948.2
2016,florida,3305.1
2016,texas,2226.8
2016,california,1284.8
2016,new york,1279.4
2016,michigan,971.3
2016,georgia,939.4
2016,ohio,905.2
2016,new jersey,902.8
2016,pennsylvania,895.8
2016,louisiana,694.7
2017,total,27132.1
2017,all other,11498.1
2017,florida,3808.0
2017,texas,2704.9
2017,california,1520.5
2017,new york,1472.8
2017,michigan,1186.8
2017,georgia,1177.0
2017,ohio,1033.5
2017,pennsylvania,1005.5
2017,new jersey,985.8
2017,louisiana,739.2
2018,total,32609.9
2018,all other,13812.8
2018,florida,4700.9
2018,texas,3388.6
2018,california,1836.0
2018,new york,1699.0
2018,georgia,1452.9
2018,michigan,1423.7
2018,ohio,1194.0
2018,pennsylvania,1157.4
2018,new jersey,1088.1
2018,louisiana,856.5
2019,total,37577.9
2019,all other,16249.6
2019,florida,5233.4
2019,texas,4081.0
2019,california,2208.8
2019,new york,1843.2
2019,michigan,1673.5
2019,georgia,1645.3
2019,ohio,1339.5
2019,pennsylvania,1268.3
2019,new jersey,1192.3
2019,arizona,843.0
2020,total,40569.0
2020,all other,17787.0
2020,florida,5534.0
2020,texas,4531.0
2020,california,2241.0
2020,new york,1933.0
2020,georgia,1861.0
2020,michigan,1798.0
2020,ohio,1404.0
2020,pennsylvania,1327.0
2020,new jersey,1242.0
2020,arizona,911.0
2021,total,46405.0
2021,all other,20541.0
2021,florida,6291.0
2021,texas,5343.0
2021,california,2585.0
2021,georgia,2148.0
2021,new york,2009.0
2021,michigan,1963.0
2021,ohio,1563.0
2021,pennsylvania,1505.0
2021,new jersey,1417.0
2021,arizona,1040.0
2022,total,51081.0
2022,all other,22252.0
2022,florida,7145.0
2022,texas,6089.0
2022,california,2867.0
2022,georgia,2444.0
2022,new york,2056.0
2022,michigan,2015.0
2022,ohio,1709.0
2022,pennsylvania,1670.0
2022,new jersey,1600.0
2022,arizona,1234.0
2023,total,61550.0
2023,all other,26489.0
2023,florida,9096.0
2023,texas,7809.0
2023,california,3408.0
2023,georgia,2928.0
2023,new york,2416.0
2023,michigan,2255.0
2023,new jersey,1911.0
2023,ohio,1851.0
2023,pennsylvania,1804.0
2023,arizona,1583.0
2024,total,74424.0
2024,all other,32789.0
2024,florida,10222.0
2024,texas,9641.0
2024,california,4124.0
2024,georgia,3635.0
2024,new york,2830.0
2024,michigan,2628.0
2024,new jersey,2206.0
2024,pennsylvania,2192.0
2024,ohio,2168.0
2024,arizona,1989.0
2025,total,83174.0
2025,all other,37674.0
2025,texas,10315.0
2025,florida,10261.0
2025,california,4777.0
2025,georgia,4084.0
2025,new york,3359.0
2025,new jersey,2830.0
2025,michigan,2775.0
2025,ohio,2445.0
2025,pennsylvania,2414.0
2025,arizona,2240.0
