concept,start,end,val
Revenues,2007-01-01,2007-12-31,14686800000
Revenues,2008-01-01,2008-06-30,7122500000
Revenues,2008-04-01,2008-06-30,3536600000
Revenues,2008-01-01,2008-09-30,9332600000
Revenues,2008-07-01,2008-09-30,2210100000
Revenues,2008-01-01,2008-12-31,12840100000
Revenues,2008-01-01,2008-12-31,12840100000
Revenues,2009-01-01,2009-03-31,3468200000
Revenues,2009-01-01,2009-06-30,7051700000
Revenues,2009-01-01,2009-06-30,7051700000
Revenues,2009-04-01,2009-06-30,3583500000
Revenues,2009-04-01,2009-06-30,3583500000
Revenues,2009-01-01,2009-09-30,10663000000
Revenues,2009-01-01,2009-09-30,10663000000
Revenues,2009-07-01,2009-09-30,3611300000
Revenues,2009-07-01,2009-09-30,3611300000
Revenues,2009-01-01,2009-12-31,14563600000
Revenues,2009-01-01,2009-12-31,14563600000
Revenues,2009-01-01,2009-12-31,14563600000
Revenues,2010-01-01,2010-03-31,3665900000
Revenues,2010-01-01,2010-03-31,3665900000
Revenues,2010-01-01,2010-06-30,7352200000
Revenues,2010-01-01,2010-06-30,7352200000
Revenues,2010-04-01,2010-06-30,3686300000
Revenues,2010-04-01,2010-06-30,3686300000
Revenues,2010-01-01,2010-09-30,11121700000
Revenues,2010-01-01,2010-09-30,11121700000
Revenues,2010-07-01,2010-09-30,3769500000
Revenues,2010-07-01,2010-09-30,3769500000
Revenues,2010-01-01,2010-12-31,14963300000
Revenues,2010-01-01,2010-12-31,14963300000
Revenues,2010-01-01,2010-12-31,15215500000
Revenues,2011-01-01,2011-03-31,3893500000
Revenues,2011-01-01,2011-03-31,3893500000
Revenues,2011-01-01,2011-06-30,7766200000
Revenues,2011-01-01,2011-06-30,7766200000
Revenues,2011-04-01,2011-06-30,3872700000
Revenues,2011-04-01,2011-06-30,3872700000
Revenues,2011-01-01,2011-09-30,11577200000
Revenues,2011-01-01,2011-09-30,11577200000
Revenues,2011-07-01,2011-09-30,3811000000
Revenues,2011-07-01,2011-09-30,3811000000
Revenues,2011-01-01,2011-12-31,15508100000
Revenues,2011-01-01,2011-12-31,15774600000
Revenues,2011-01-01,2011-12-31,15774600000
Revenues,2012-01-01,2012-03-31,4061200000
Revenues,2012-01-01,2012-03-31,4126400000
Revenues,2012-01-01,2012-06-30,8174300000
Revenues,2012-01-01,2012-06-30,8309400000
Revenues,2012-04-01,2012-06-30,4113100000
Revenues,2012-04-01,2012-06-30,4183000000
Revenues,2012-01-01,2012-09-30,12519800000
Revenues,2012-01-01,2012-09-30,12733300000
Revenues,2012-07-01,2012-09-30,4345500000
Revenues,2012-07-01,2012-09-30,4423900000
Revenues,2012-01-01,2012-12-31,17083900000
Revenues,2012-01-01,2012-12-31,17083900000
Revenues,2012-01-01,2012-12-31,17083900000
Revenues,2013-01-01,2013-03-31,4437200000
Revenues,2013-01-01,2013-03-31,4437200000
Revenues,2013-01-01,2013-06-30,9030800000
Revenues,2013-01-01,2013-06-30,9030800000
Revenues,2013-04-01,2013-06-30,4593600000
Revenues,2013-04-01,2013-06-30,4593600000
Revenues,2013-01-01,2013-09-30,13552100000
Revenues,2013-01-01,2013-09-30,13552100000
Revenues,2013-07-01,2013-09-30,4521300000
Revenues,2013-07-01,2013-09-30,4521300000
Revenues,2013-01-01,2013-12-31,18170900000
Revenues,2013-01-01,2013-12-31,18170900000
Revenues,2013-01-01,2013-12-31,18170900000
Revenues,2014-01-01,2014-03-31,4707600000
Revenues,2014-01-01,2014-03-31,4707600000
Revenues,2014-01-01,2014-06-30,9449100000
Revenues,2014-01-01,2014-06-30,9449100000
Revenues,2014-04-01,2014-06-30,4741500000
Revenues,2014-04-01,2014-06-30,4741500000
Revenues,2014-01-01,2014-09-30,14215200000
Revenues,2014-01-01,2014-09-30,14215200000
Revenues,2014-07-01,2014-09-30,4766100000
Revenues,2014-07-01,2014-09-30,4766100000
Revenues,2014-01-01,2014-12-31,19391400000
Revenues,2014-01-01,2014-12-31,19391400000
Revenues,2014-01-01,2014-12-31,19391400000
Revenues,2015-01-01,2015-03-31,4895300000
Revenues,2015-01-01,2015-03-31,4895300000
Revenues,2015-01-01,2015-06-30,10178600000
Revenues,2015-01-01,2015-06-30,10178600000
Revenues,2015-04-01,2015-06-30,5283300000
Revenues,2015-04-01,2015-06-30,5283300000
Revenues,2015-01-01,2015-09-30,15452400000
Revenues,2015-01-01,2015-09-30,15452400000
Revenues,2015-07-01,2015-09-30,5273800000
Revenues,2015-07-01,2015-09-30,5273800000
Revenues,2015-01-01,2015-12-31,20853800000
Revenues,2015-01-01,2015-12-31,20853800000
Revenues,2015-01-01,2015-12-31,20853800000
Revenues,2016-01-01,2016-03-31,5557500000
Revenues,2016-01-01,2016-03-31,5557500000
Revenues,2016-01-01,2016-06-30,11376800000
Revenues,2016-01-01,2016-06-30,11376800000
Revenues,2016-04-01,2016-06-30,5819300000
Revenues,2016-04-01,2016-06-30,5819300000
Revenues,2016-01-01,2016-09-30,17311800000
Revenues,2016-01-01,2016-09-30,17311800000
Revenues,2016-07-01,2016-09-30,5935000000
Revenues,2016-07-01,2016-09-30,5935000000
Revenues,2016-01-01,2016-12-31,23441400000
Revenues,2016-01-01,2016-12-31,23441400000
Revenues,2016-01-01,2016-12-31,23441400000
Revenues,2017-01-01,2017-03-31,6321700000
Revenues,2017-01-01,2017-03-31,6321700000
Revenues,2017-01-01,2017-06-30,12927400000
Revenues,2017-01-01,2017-06-30,12927400000
Revenues,2017-04-01,2017-06-30,6605700000
Revenues,2017-04-01,2017-06-30,6605700000
Revenues,2017-01-01,2017-09-30,19719200000
Revenues,2017-01-01,2017-09-30,19719200000
